NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT13,WT16,WT21,WT22,Flood,High Wind,Heat,Strong Wind,Frost/Freeze,Heavy Rain,Drought
"SANTA ROSA SONOMA CO AIRPORT, CA US",19/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.36,1412.0,1353.0,66.0,43.0,230.0,230.0,17.0,23.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",20/03/2007,0.05,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,7.16,1721.0,1716.0,68.0,48.0,320.0,320.0,19.9,25.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",21/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,9.62,1333.0,1333.0,72.0,43.0,40.0,40.0,19.9,25.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",22/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.7,1556.0,1500.0,77.0,40.0,180.0,180.0,14.1,17.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",23/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.8,1510.0,1628.0,77.0,40.0,130.0,140.0,14.1,16.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",24/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.82,1601.0,1541.0,67.0,41.0,120.0,130.0,16.1,21.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",25/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.92,1620.0,1619.0,67.0,48.0,140.0,140.0,14.1,16.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",26/03/2007,0.23,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.71,1721.0,1712.0,56.0,40.0,280.0,290.0,17.9,28.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",27/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,13.65,1312.0,1122.0,58.0,39.0,310.0,320.0,29.1,38.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",28/03/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.28,930.0,240.0,72.0,39.0,360.0,320.0,16.1,21.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
